78 6144 12288 2048 64 1 576 512
blk.20.ffn_gate_exps.weight 12 6144 2048 256 1
blk.20.ffn_gate_inp.weight 0 6144 256 1 1
blk.20.ffn_gate_shexp.weight 8 6144 2048 1 1
blk.20.ffn_norm.weight 0 6144 1 1 1
blk.20.ffn_up_exps.weight 12 6144 2048 256 1
blk.20.ffn_up_shexp.weight 8 6144 2048 1 1
blk.20.indexer.attn_k.weight 8 6144 128 1 1
blk.20.indexer.attn_q_b.weight 8 2048 4096 1 1
blk.20.indexer.k_norm.bias 0 128 1 1 1
blk.20.indexer.k_norm.weight 0 128 1 1 1
blk.20.indexer.proj.weight 0 6144 32 1 1
blk.21.attn_k_b.weight 8 192 512 64 1
blk.21.attn_kv_a_mqa.weight 8 6144 576 1 1
blk.21.attn_kv_a_norm.weight 0 512 1 1 1
blk.21.attn_norm.weight 0 6144 1 1 1
blk.21.attn_output.weight 8 16384 6144 1 1
blk.21.attn_q_a.weight 8 6144 2048 1 1
blk.21.attn_q_a_norm.weight 0 2048 1 1 1
blk.21.attn_q_b.weight 8 2048 16384 1 1
blk.21.attn_v_b.weight 8 512 256 64 1
blk.21.exp_probs_b.bias 0 256 1 1 1
blk.21.ffn_down_exps.weight 13 2048 6144 256 1
blk.21.ffn_down_shexp.weight 8 2048 6144 1 1
blk.21.ffn_gate_exps.weight 12 6144 2048 256 1
blk.21.ffn_gate_inp.weight 0 6144 256 1 1
blk.21.ffn_gate_shexp.weight 8 6144 2048 1 1
blk.21.ffn_norm.weight 0 6144 1 1 1
blk.21.ffn_up_exps.weight 12 6144 2048 256 1
blk.21.ffn_up_shexp.weight 8 6144 2048 1 1
blk.21.indexer.attn_k.weight 8 6144 128 1 1
blk.21.indexer.attn_q_b.weight 8 2048 4096 1 1
blk.21.indexer.k_norm.bias 0 128 1 1 1
blk.21.indexer.k_norm.weight 0 128 1 1 1
blk.21.indexer.proj.weight 0 6144 32 1 1
blk.22.attn_k_b.weight 8 192 512 64 1
blk.22.attn_kv_a_mqa.weight 8 6144 576 1 1
blk.22.attn_kv_a_norm.weight 0 512 1 1 1
blk.22.attn_norm.weight 0 6144 1 1 1
blk.22.attn_output.weight 8 16384 6144 1 1
blk.22.attn_q_a.weight 8 6144 2048 1 1
blk.22.attn_q_a_norm.weight 0 2048 1 1 1
